"","L1","var1","var2","cor_bkc","cor_gb","cor_mb","SA_bkc","SA_gb","SA_mb","mag_bkc","mag_gb","mag_mb","magCV_bkc","magCV_gb","magCV_mb"
"1","trawl","BBN","FCM",0.07,-0.51,0.5,0.57,0.48,0.69,NA,NA,NA,NA,NA,NA
"2","trawl","FCM","QNM",0.22,-0.37,0.19,0.5,0.71,0.49,NA,NA,NA,NA,NA,NA
"3","trawl","QNM","BBN",0.33,0.19,0.19,0.21,0.45,0.66,0.22,0.88,0.4,1.08,0.18,0.71
"4","tw","BBN","FCM",0.3,-0.55,0.55,0.71,0.39,0.8,NA,NA,NA,NA,NA,NA
"5","tw","FCM","QNM",0.41,-0.11,0.35,0.79,0.61,0.57,NA,NA,NA,NA,NA,NA
"6","tw","QNM","BBN",0.36,0.12,0.41,0.64,0.23,0.69,0.22,0.67,0.35,0.98,0.55,0.73
"7","warming","BBN","FCM",0.26,-0.91,0.48,0.71,0.32,0.97,NA,NA,NA,NA,NA,NA
"8","warming","FCM","QNM",0.57,-0.29,0.42,0.79,0.61,0.69,NA,NA,NA,NA,NA,NA
"9","warming","QNM","BBN",0.37,0.08,0.47,0.64,0.19,0.71,0.29,0.69,0.35,0.53,0.48,0.71
